1779959446.216646 server started (21110): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1779959446.216673 on Linux 6.8.0-71-generic #71-Ubuntu SMP PREEMPT_DYNAMIC Tue Jul 22 16:52:38 UTC 2025
1779959446.216680 using libevent 2.1.12-stable poll
1779959446.216682 using ncurses 6.4 20240113
1779959446.216761 input_key_build: 0x10e003 (PasteStart) is \033[200~
1779959446.216769 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1779959446.216778 input_key_build: 0x10e195 (F1) is \033OP
1779959446.216781 input_key_build: 0x10e196 (F2) is \033OQ
1779959446.216783 input_key_build: 0x10e197 (F3) is \033OR
1779959446.216786 input_key_build: 0x10e198 (F4) is \033OS
1779959446.216789 input_key_build: 0x10e199 (F5) is \033[15~
1779959446.216792 input_key_build: 0x10e19a (F6) is \033[17~
1779959446.216794 input_key_build: 0x10e19b (F7) is \033[18~
1779959446.216798 input_key_build: 0x10e19c (F8) is \033[19~
1779959446.216801 input_key_build: 0x10e19d (F9) is \033[20~
1779959446.216804 input_key_build: 0x10e19e (F10) is \033[21~
1779959446.216808 input_key_build: 0x10e19f (F11) is \033[23~
1779959446.216811 input_key_build: 0x10e1a0 (F12) is \033[24~
1779959446.216813 input_key_build: 0x10e1a1 (IC) is \033[2~
1779959446.216816 input_key_build: 0x10e1a2 (DC) is \033[3~
1779959446.216819 input_key_build: 0x10e1a3 (Home) is \033[1~
1779959446.216822 input_key_build: 0x10e1a4 (End) is \033[4~
1779959446.216824 input_key_build: 0x10e1a5 (NPage) is \033[6~
1779959446.216827 input_key_build: 0x10e1a6 (PPage) is \033[5~
1779959446.216829 input_key_build: 0x10e1a7 (BTab) is \033[Z
1779959446.216832 input_key_build: 0x10e1a8 (Up) is \033[A
1779959446.216834 input_key_build: 0x10e1a9 (Down) is \033[B
1779959446.216837 input_key_build: 0x10e1aa (Left) is \033[D
1779959446.216839 input_key_build: 0x10e1ab (Right) is \033[C
1779959446.216847 input_key_build: 0x10e1ac (KP/) is /
1779959446.216850 input_key_build: 0x10e1ad (KP*) is *
1779959446.216853 input_key_build: 0x10e1ae (KP-) is -
1779959446.216856 input_key_build: 0x10e1af (KP7) is 7
1779959446.216859 input_key_build: 0x10e1b0 (KP8) is 8
1779959446.216861 input_key_build: 0x10e1b1 (KP9) is 9
1779959446.216862 input_key_build: 0x10e1b2 (KP+) is +
1779959446.216864 input_key_build: 0x10e1b3 (KP4) is 4
1779959446.216866 input_key_build: 0x10e1b4 (KP5) is 5
1779959446.216868 input_key_build: 0x10e1b5 (KP6) is 6
1779959446.216869 input_key_build: 0x10e1b6 (KP1) is 1
1779959446.216871 input_key_build: 0x10e1b7 (KP2) is 2
1779959446.216873 input_key_build: 0x10e1b8 (KP3) is 3
1779959446.216875 input_key_build: 0x10e1b9 (KPEnter) is \n
1779959446.216877 input_key_build: 0x10e1ba (KP0) is 0
1779959446.216879 input_key_build: 0x10e1bb (KP.) is .
1779959446.216881 input_key_build: 0x200000000009 (C-Tab) is \t
